OrganizationIdentifier,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode,ProviderName
21IOWA_WQX,21IOWA_WQX-10640002,Iowa River near Marshalltown,River/Stream,7080208,42.050799,-92.846577,19,127,STORET
21IOWA_WQX,21IOWA_WQX-10650001,West Nishnabotna River near Malvern,River/Stream,10240002,40.987277,-95.527908,19,129,STORET
21IOWA_WQX,21IOWA_WQX-10670001,Monona-Harrison Ditch near Turin,Canal Drainage,10230004,41.964988,-95.992186,19,133,STORET
21IOWA_WQX,21IOWA_WQX-10670002,Maple River at Mapleton,River/Stream,10230005,42.171425,-95.796137,19,133,STORET
21IOWA_WQX,21IOWA_WQX-10670003,Little Sioux River near Turin,River/Stream,10230003,41.965082,-95.972877,19,133,STORET
21IOWA_WQX,21IOWA_WQX-10700001,Cedar River near Conesville,River/Stream,7080206,41.409359,-91.290171,19,139,STORET
21IOWA_WQX,21IOWA_WQX-10730001,West Nodaway River at Shambaugh,River/Stream,10240009,40.659337,-95.028273,19,145,STORET
21IOWA_WQX,21IOWA_WQX-10730002,East Nodaway River near Clarinda,River/Stream,10240010,40.727435,-94.97975,19,145,STORET
21IOWA_WQX,21IOWA_WQX-10750001,Floyd River near James,River/Stream,10230002,42.57637,-96.31233,19,149,STORET
21IOWA_WQX,21IOWA_WQX-10770001,Beaver Creek at Johnston,River/Stream,7100004,41.688253,-93.7355,19,153,STORET
21IOWA_WQX,21IOWA_WQX-10810001,North Raccoon River near Lake View,River/Stream,7100006,42.340001,-94.985712,19,161,STORET
21IOWA_WQX,21IOWA_WQX-10820001,Wapsipinicon River near De Witt,River/Stream,7080103,41.766533,-90.53491,19,163,STORET
21IOWA_WQX,21IOWA_WQX-10840001,Rock River near Hawarden,River/Stream,10170204,43.083908,-96.445121,19,167,STORET
21IOWA_WQX,21IOWA_WQX-10850002,South Skunk River near Cambridge,River/Stream,7080105,41.95038,-93.551013,19,169,STORET
21IOWA_WQX,21IOWA_WQX-10890001,Des Moines River at Keosauqua,River/Stream,7100009,40.728232,-91.960615,19,177,STORET
21IOWA_WQX,21IOWA_WQX-10910001,Middle River near Indianola,River/Stream,7100008,41.424689,-93.587285,19,181,STORET
21IOWA_WQX,21IOWA_WQX-10910003,South River near Ackworth,River/Stream,7100008,41.372294,-93.430723,19,181,STORET
21IOWA_WQX,21IOWA_WQX-10920001,English River at Riverside,River/Stream,7080209,41.475535,-91.580352,19,183,STORET
21IOWA_WQX,21IOWA_WQX-10970001,Little Sioux River near Smithland,River/Stream,10230003,42.26717,-95.89392,19,193,STORET
21IOWA_WQX,21IOWA_WQX-10970002,West Fork Ditch near Hornick,Canal Drainage,10230004,42.227,-96.0778,19,193,STORET
21IOWA_WQX,21IOWA_WQX-12100002,Lime Creek-Lime Creek Park- Brandon,River/Stream,7080205,42.329191,-91.982178,19,19,STORET
21IOWA_WQX,21IOWA_WQX-12180005,Mill Creek Larrabee,River/Stream,10230003,42.84789,-95.61304,19,35,STORET
21IOWA_WQX,21IOWA_WQX-12190003,Wapsipinicon River-Twin Ponds Park,River/Stream,7080102,43.012575,-92.39028,19,37,STORET
21IOWA_WQX,21IOWA_WQX-12340001,Little Cedar River-Colwell Co Park,River/Stream,7080201,43.152372,-92.643887,19,67,STORET
21IOWA_WQX,21IOWA_WQX-12370002,East Buttrick-Pound Pit Co Area - Dana,River/Stream,7100006,42.07728,-94.248341,19,73,STORET
21IOWA_WQX,21IOWA_WQX-12370003,West Buttrick Creek-Spring Lake Park,River/Stream,7100006,42.070181,-94.286443,19,73,STORET
21IOWA_WQX,21IOWA_WQX-12400007,White Fox Creek-Webster City,River/Stream,7100005,42.535874,-93.787919,19,79,STORET
21IOWA_WQX,21IOWA_WQX-12420001,South Fork Iowa River Logsdon Co Park- Iowa Falls,River/Stream,7080207,42.38525,-93.26243,19,83,STORET
21IOWA_WQX,21IOWA_WQX-12660003,Deer Creek-Carpenter - 1 mile NW,River/Stream,7080201,43.424214,-93.022423,19,131,STORET
21IOWA_WQX,21IOWA_WQX-12940001,Lizard Creek-Clare,River/Stream,7100004,42.541272,-94.345046,19,187,STORET
21IOWA_WQX,21IOWA_WQX-12980003,Willow Creek-Willow Creek Wildlife Area - Hanlontown,River/Stream,7080203,43.276656,-93.354006,19,195,STORET
21IOWA_WQX,21IOWA_WQX-13080006,Big Creek 319 (BCW 9-1),River/Stream,7100004,41.86345,-93.75974,19,15,STORET
21IOWA_WQX,21IOWA_WQX-13770004,Big Creek 319 (BCW9),River/Stream,7100004,41.836478,-93.759958,19,153,STORET
21IOWA_WQX,21IOWA_WQX-13770005,Big Creek 319 (BCW10),River/Stream,7100004,41.82754,-93.772605,19,153,STORET
21IOWA_WQX,21IOWA_WQX-14000134,Lost Grove Lake,Lake,7080103,41.66943,-90.43548,19,163,STORET
21IOWA_WQX,21IOWA_WQX-14000172,LPINELK 1,Lake,7080207,42.36849,-93.070988,19,83,STORET
