target_variable,sample_count,train_count,test_count,rmse,mae,r2
"Temperature, water",5952,4761,1191,3.6565388226740194,2.8826313622638033,0.7722688473580464
Chloride,3592,2873,719,71.74114420041222,44.14449603836922,0.12156187556654297
Dissolved oxygen (DO),5900,4720,1180,5.652078702471317,2.3192656310503765,0.044507416042924186
Orthophosphate,4141,3312,829,0.4381467445381174,0.23441525428397017,0.009460372900673919
pH,6015,4812,1203,0.9616477485573578,0.7708740636571539,-0.9134776871712453
